Number,Time
2,1.5273006283678114e-05
3,3.507004294078797e-06
4,3.187000402249396e-06
5,4.292000085115433e-06
6,3.8090001908130944e-06
7,4.121997335460037e-06
8,1.8874001398216933e-05
9,4.497000190895051e-06
10,3.865003236569464e-06
11,4.898996849078685e-06
12,4.417001036927104e-06
13,5.032001354265958e-06
14,4.991998139303178e-06
