Number,Time
2,2.4795001081656665e-05
3,1.1873002222273499e-05
4,1.2941003660671413e-05
5,2.8041002224199474e-05
6,0.0002133490052074194
7,0.0003304000056232326
8,0.009468819996982347
9,0.0169296999956714
10,8.381600491702557e-05
11,1.255882830999326
12,0.00025876399740809575
13,0.04884153699822491
14,0.6482084199960809
