Digits,Time
2,1.094199251383543e-06
3,2.465100260451436e-06
4,1.3713994121644647e-06
5,8.63167988427449e-05
6,3.410399949643761e-06
7,2.8935800219187514e-05
8,0.0004774934008310083
9,0.0005729919008444995
10,0.01681326199977775
